rank,ticker,company,sector,weight,market_cap_usd,market_cap_numeric,market_cap_billions,cap_category,weight_cumulative,index_concentration,snapshot_date
1,NVDA,NVIDIA Corporation,Technology,13.31,5.47T,5470000000000.0,5470.0,Mega Cap,13.31,Top 10,2026-05-01
2,AAPL,Apple Inc.,Technology,11.57,4.39T,4389999999999.9995,4390.0,Mega Cap,24.88,Top 10,2026-05-01
3,MSFT,Microsoft Corporation,Technology,8.55,3.01T,3010000000000.0,3010.0,Mega Cap,33.43,Top 10,2026-05-01
4,AMZN,Amazon.com Inc.,Consumer Discretionary,7.07,2.91T,2910000000000.0,2910.0,Mega Cap,40.5,Top 10,2026-05-01
5,GOOGL,Alphabet Inc. Class A,Communication Services,5.75,4.88T,4880000000000.0,4880.0,Mega Cap,46.25,Top 10,2026-05-01
6,GOOG,Alphabet Inc. Class C,Communication Services,5.33,4.83T,4830000000000.0,4830.0,Mega Cap,51.58,Top 10,2026-05-01
7,AVGO,Broadcom Inc.,Technology,4.6,1.97T,1970000000000.0,1970.0,Mega Cap,56.18,Top 10,2026-05-01
8,META,Meta Platforms Inc. Class A,Communication Services,4.58,1.57T,1570000000000.0,1570.0,Mega Cap,60.76,Top 10,2026-05-01
9,TSLA,Tesla Inc.,Consumer Discretionary,4.44,1.67T,1670000000000.0,1670.0,Mega Cap,65.2,Top 10,2026-05-01
10,WMT,Walmart Inc.,Consumer Staples,3.06,1.05T,1050000000000.0,1050.0,Mega Cap,68.26,Top 10,2026-05-01
11,ASML,ASML Holding N.V.,Technology,1.65,609.6B,609600000000.0,609.6,Mega Cap,69.91,Top 11–25,2026-05-01
12,COST,Costco Wholesale Corporation,Consumer Staples,1.37,458.3B,458300000000.0,458.3,Mega Cap,71.28,Top 11–25,2026-05-01
13,MU,Micron Technology Inc.,Technology,1.3,906.3B,906300000000.0,906.3,Mega Cap,72.58,Top 11–25,2026-05-01
14,NFLX,Netflix Inc.,Communication Services,1.25,368.7B,368700000000.0,368.7,Mega Cap,73.83,Top 11–25,2026-05-01
15,PLTR,Palantir Technologies Inc. Class A,Technology,1.09,311.8B,311800000000.0,311.8,Mega Cap,74.92,Top 11–25,2026-05-01
16,AMD,Advanced Micro Devices Inc.,Technology,1.07,726.4B,726400000000.0,726.4,Mega Cap,75.99,Top 11–25,2026-05-01
17,CSCO,Cisco Systems Inc.,Technology,0.97,402.4B,402400000000.0,402.4,Mega Cap,76.96,Top 11–25,2026-05-01
18,AMAT,Applied Materials Inc.,Technology,0.88,346.5B,346500000000.0,346.5,Mega Cap,77.84,Top 11–25,2026-05-01
19,LRCX,Lam Research Corporation,Technology,0.86,369.5B,369500000000.0,369.5,Mega Cap,78.7,Top 11–25,2026-05-01
20,INTC,Intel Corporation,Technology,0.76,604.6B,604600000000.0,604.6,Mega Cap,79.46,Top 11–25,2026-05-01
21,LIN,Linde plc,Materials,0.71,237.3B,237300000000.0,237.3,Mega Cap,80.17,Top 11–25,2026-05-01
22,TMUS,T-Mobile US Inc.,Communication Services,0.69,205.9B,205900000000.0,205.9,Mega Cap,80.86,Top 11–25,2026-05-01
23,PEP,PepsiCo Inc.,Consumer Staples,0.65,204.0B,204000000000.0,204.0,Mega Cap,81.51,Top 11–25,2026-05-01
24,KLAC,KLA Corporation,Technology,0.62,241.6B,241600000000.0,241.6,Mega Cap,82.13,Top 11–25,2026-05-01
25,AMGN,Amgen Inc.,Health Care,0.59,181.7B,181700000000.0,181.7,Large Cap,82.72,Top 11–25,2026-05-01
26,TXN,Texas Instruments Incorporated,Technology,0.56,278.8B,278800000000.0,278.8,Mega Cap,83.28,Rest (26–100),2026-05-01
27,GILD,Gilead Sciences Inc.,Health Care,0.54,165.2B,165200000000.0,165.2,Large Cap,83.82,Rest (26–100),2026-05-01
28,ISRG,Intuitive Surgical Inc.,Health Care,0.51,153.1B,153100000000.0,153.1,Large Cap,84.33,Rest (26–100),2026-05-01
29,ARM,Arm Holdings plc ADR,Technology,0.5,235.4B,235400000000.0,235.4,Mega Cap,84.83,Rest (26–100),2026-05-01
30,ADI,Analog Devices Inc.,Technology,0.49,211.1B,211100000000.0,211.1,Mega Cap,85.32,Rest (26–100),2026-05-01
31,SHOP,Shopify Inc. Class A,Consumer Discretionary,0.48,123.8B,123800000000.0,123.8,Large Cap,85.8,Rest (26–100),2026-05-01
32,PDD,PDD Holdings Inc. ADR,Consumer Discretionary,0.45,141.8B,141800000000.0,141.8,Large Cap,86.25,Rest (26–100),2026-05-01
33,HON,Honeywell International Inc.,Industrials,0.45,138.1B,138100000000.0,138.1,Large Cap,86.7,Rest (26–100),2026-05-01
34,QCOM,QUALCOMM Incorporated,Technology,0.43,224.7B,224700000000.0,224.7,Mega Cap,87.13,Rest (26–100),2026-05-01
35,BKNG,Booking Holdings Inc.,Consumer Discretionary,0.42,120.1B,120100000000.0,120.1,Large Cap,87.55,Rest (26–100),2026-05-01
36,APP,AppLovin Corporation Class A,Technology,0.41,152.4B,152400000000.0,152.4,Large Cap,87.96,Rest (26–100),2026-05-01
37,PANW,Palo Alto Networks Inc.,Technology,0.4,184.7B,184700000000.0,184.7,Large Cap,88.36,Rest (26–100),2026-05-01
