rank,ticker,company,sector,weight,market_cap_usd
1,NVDA,NVIDIA Corporation,Technology,13.31,5.27T
2,AAPL,Apple Inc.,Technology,11.57,4.50T
3,MSFT,Microsoft Corporation,Technology,8.55,3.76T
4,AMZN,Amazon.com Inc.,Consumer Discretionary,7.07,3.00T
5,GOOGL,Alphabet Inc. Class A,Communication Services,5.75,4.37T
6,GOOG,Alphabet Inc. Class C,Communication Services,5.33,4.35T
7,AVGO,Broadcom Inc.,Technology,4.6,2.01T
8,META,Meta Platforms Inc. Class A,Communication Services,4.58,1.52T
9,TSLA,Tesla Inc.,Consumer Discretionary,4.44,1.31T
10,WMT,Walmart Inc.,Consumer Staples,3.06,896.6B
11,ASML,ASML Holding N.V.,Technology,1.65,665.8B
12,COST,Costco Wholesale Corporation,Consumer Staples,1.37,422.5B
13,MU,Micron Technology Inc.,Technology,1.3,-
14,NFLX,Netflix Inc.,Communication Services,1.25,317.7B
15,PLTR,Palantir Technologies Inc. Class A,Technology,1.09,421.1B
16,AMD,Advanced Micro Devices Inc.,Technology,1.07,766.5B
17,CSCO,Cisco Systems Inc.,Technology,0.97,483.1B
18,AMAT,Applied Materials Inc.,Technology,0.88,414.5B
19,LRCX,Lam Research Corporation,Technology,0.86,383.4B
20,INTC,Intel Corporation,Technology,0.76,491.9B
21,LIN,Linde plc,Materials,0.71,227.0B
22,TMUS,T-Mobile US Inc.,Communication Services,0.69,191.2B
23,PEP,PepsiCo Inc.,Consumer Staples,0.65,188.1B
24,KLAC,KLA Corporation,Technology,0.62,251.8B
25,AMGN,Amgen Inc.,Health Care,0.59,225.7B
26,TXN,Texas Instruments Incorporated,Technology,0.56,256.1B
27,GILD,Gilead Sciences Inc.,Health Care,0.54,165.0B
28,ISRG,Intuitive Surgical Inc.,Health Care,0.51,140.9B
29,ARM,Arm Holdings plc ADR,Technology,0.5,286.1B
30,ADI,Analog Devices Inc.,Technology,0.49,-
31,SHOP,Shopify Inc. Class A,Consumer Discretionary,0.48,201.4B
32,PDD,PDD Holdings Inc. ADR,Consumer Discretionary,0.45,132.4B
33,HON,Honeywell International Inc.,Industrials,0.45,77.0B
34,QCOM,QUALCOMM Incorporated,Technology,0.43,170.3B
35,BKNG,Booking Holdings Inc.,Consumer Discretionary,0.42,160.0B
36,APP,AppLovin Corporation Class A,Technology,0.41,113.9B
37,PANW,Palo Alto Networks Inc.,Technology,0.4,313.8B
38,INTU,Intuit Inc.,Technology,0.36,91.5B
39,VRTX,Vertex Pharmaceuticals Incorporated,Health Care,0.36,132.8B
40,SBUX,Starbucks Corporation,Consumer Discretionary,0.32,119.3B
41,WDC,Western Digital Corporation,Technology,0.32,-
42,CEG,Constellation Energy Corporation,Utilities,0.31,95.8B
43,CMCSA,Comcast Corporation Class A,Communication Services,0.31,89.4B
44,CRWD,CrowdStrike Holdings Inc. Class A,Technology,0.31,229.3B
45,ADBE,Adobe Inc.,Technology,0.3,108.5B
46,STX,Seagate Technology Holdings plc,Technology,0.3,181.5B
47,MRVL,Marvell Technology Inc.,Technology,0.29,187.2B
48,MAR,Marriott International Inc. Class A,Consumer Discretionary,0.27,90.9B
49,MELI,MercadoLibre Inc.,Consumer Discretionary,0.27,92.5B
50,REGN,Regeneron Pharmaceuticals Inc.,Health Care,0.25,83.2B
51,ADP,Automatic Data Processing Inc.,Technology,0.25,108.7B
52,CDNS,Cadence Design Systems Inc.,Technology,0.24,91.4B
53,ORLY,O'Reilly Automotive Inc.,Consumer Discretionary,0.24,74.6B
54,CSX,CSX Corporation,Industrials,0.24,92.8B
55,SNPS,Synopsys Inc.,Technology,0.24,78.8B
56,ABNB,Airbnb Inc. Class A,Consumer Discretionary,0.24,110.6B
57,MDLZ,Mondelez International Inc. Class A,Consumer Staples,0.23,78.5B
58,MNST,Monster Beverage Corporation,Consumer Staples,0.22,179.1B
59,ROST,Ross Stores Inc.,Consumer Discretionary,0.22,81.7B
60,AEP,American Electric Power Company Inc.,Utilities,0.22,66.9B
61,WBD,Warner Bros. Discovery Inc. Series A,Communication Services,0.22,67.4B
62,CTAS,Cintas Corporation,Industrials,0.21,81.1B
63,DASH,DoorDash Inc. Class A,Consumer Discretionary,0.2,91.4B
64,PCAR,PACCAR Inc.,Industrials,0.19,69.1B
65,FTNT,Fortinet Inc.,Technology,0.19,120.5B
66,BKR,Baker Hughes Company Class A,Energy,0.18,63.6B
67,MPWR,Monolithic Power Systems Inc.,Technology,0.17,67.9B
68,FANG,Diamondback Energy Inc.,Energy,0.17,55.7B
69,FAST,Fastenal Company,Industrials,0.17,59.8B
70,EA,Electronic Arts Inc.,Communication Services,0.16,52.9B
71,ADSK,Autodesk Inc.,Technology,0.16,54.1B
72,NXPI,NXP Semiconductors N.V.,Technology,0.15,58.9B
73,EXC,Exelon Corporation,Utilities,0.15,45.8B
74,XEL,Xcel Energy Inc.,Utilities,0.15,48.0B
75,FER,Ferrovial SE,Utilities,0.15,47.2B
76,IDXX,IDEXX Laboratories Inc.,Health Care,0.14,46.9B
77,ALNY,Alnylam Pharmaceuticals Inc.,Health Care,0.14,29.0B
78,MSTR,Strategy Inc.,Technology,0.13,38.3B
79,DDOG,Datadog Inc. Class A,Technology,0.13,93.6B
80,ODFL,Old Dominion Freight Line Inc.,Industrials,0.13,44.2B
81,PYPL,PayPal Holdings Inc.,Technology,0.13,50.5B
82,CCEP,Coca-Cola Europacific Partners plc,Consumer Staples,0.13,46.9B
83,TRI,Thomson Reuters Corporation,Technology,0.12,45.2B
84,TTWO,Take-Two Interactive Software Inc.,Communication Services,0.11,47.4B
85,ROP,Roper Technologies Inc.,Industrials,0.11,39.9B
86,MCHP,Microchip Technology Incorporated,Technology,0.11,44.2B
87,INSM,Insmed Incorporated,Health Care,0.11,29.4B
88,KDP,Keurig Dr Pepper Inc.,Consumer Staples,0.11,39.9B
89,AXON,Axon Enterprise Inc.,Industrials,0.11,48.4B
90,WDAY,Workday Inc. Class A,Technology,0.1,45.5B
91,PAYX,Paychex Inc.,Technology,0.1,43.1B
92,GEHC,GE HealthCare Technologies Inc.,Health Care,0.1,32.9B
93,CPRT,Copart Inc.,Industrials,0.1,27.4B
94,CTSH,Cognizant Technology Solutions Corporation Class A,Technology,0.09,26.3B
95,CHTR,Charter Communications Inc. Class A,Communication Services,0.08,20.7B
96,KHC,Kraft Heinz Company,Consumer Staples,0.08,29.6B
97,VRSK,Verisk Analytics Inc.,Technology,0.08,23.6B
98,DXCM,DexCom Inc.,Health Care,0.08,33.1B
99,ZS,Zscaler Inc. Class A,Technology,0.07,28.6B
100,TEAM,Atlassian Corporation Class A,Technology,0.06,38.5B
